Numero Documento;Fecha de Creacion;Tipo de CDP;Estado;Dependencia;Dependencia Descripcion;Rubro;Descripcion;Fuente;Recurso;Sit; Valor Inicial ; Valor Operaciones ; Valor Actual ; Saldo por Comprometer ;Objeto;Solicitud CDP;Compromisos;Cuentas por Pagar;Obligaciones;Ordenes de Pago;Reintegros
2625;2025-01-08 17:11:00;Gasto;Con Compromiso;911318;CENTRO AGROPECUARIO - FONDO INDUSTRIA Y DE LA CONSTRUCCION FIC-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;FONDOS ESPECIALES;CSF; $ 249.540.876,00 ; $ -   ; $ 249.540.876,00 ; $ -   ;MATERIALES FORMACIÓN: ASIGNACIÓN DE RECURSOS PARA LA CONTRATACIÓN DE LOS MATERIALES DE FORMACIÓN PLACA HUELLA PARA LA VIGENCIA 2025.;2625;257225;163925;560825, 560925;326518425, 326518525;-0
2725;2025-01-08 17:15:00;Gasto;Con Compromiso;911318;CENTRO AGROPECUARIO - FONDO INDUSTRIA Y DE LA CONSTRUCCION FIC-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;FONDOS ESPECIALES;CSF; $ 23.196.040,00 ; $ -   ; $ 23.196.040,00 ; $ -   ;MATERIALES FORMACIÓN: ASIGNACIÓN DE RECURSOS PARA LA CONTRATACIÓN DE LOS MATERIALES DE FORMACIÓN PROFESIONAL PROGRAMAS FIC PARA LA VIGENCIA 2025. INCLUYE GASOLINA Y ACEITES PARA MAQUINARIA AMARILLA.;2725;257325;164225;560525;326518225;-0
2825;2025-01-08 17:18:00;Gasto;Con Compromiso;911318;CENTRO AGROPECUARIO - FONDO INDUSTRIA Y DE LA CONSTRUCCION FIC-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;FONDOS ESPECIALES;CSF; $ 22.351.411,00 ; $ -   ; $ 22.351.411,00 ; $ -   ;PROTECCION APRENDICES: COMPRA DE ELEMENTOS DE PROTECCIÓN Y DOTACIÓN - APRENDICES PROGRAMAS FIC Y PLACA HUELLA PARA LA VIGENCIA 2025.;2825;268025;160025;560425;326518125;-0
2925;2025-01-08 17:21:00;Gasto;Con Compromiso;911318;CENTRO AGROPECUARIO - FONDO INDUSTRIA Y DE LA CONSTRUCCION FIC-CAUCA;C-3603-1300-20-20305C-3603025-02;ADQUIS. DE BYS - SERVICIO DE FORMACIÓN PROFESIONAL INTEGRAL - FORTALECIMIENTO DE LA PRESTACIÓN DEL SERVICIO DE FORMACIÓN PROFESIONAL Y EL RECONOCIMIENTO DE SABERES PREVIOS CON ÉNFASIS EN POBLACIONES CAMPESINAS Y POPULARES EN COLOMBIA NACIONAL;Propios;FONDOS ESPECIALES;CSF; $ 217.729.369,00 ; $ 89.690.463,00 ; $ 307.419.832,00 ; $ 16.863.376,00 ;INSTRUCTOR: RECURSOS PARA LA CONTRATACIÓN DE INSTRUCTORES FIC PARA EL CUMPLIMIENTO DE METAS TOTALES ASIGNADAS DFP INCLUYE ETAPA LECTIVA Y PRODUCTIVA VIGENCIA 2025.;2925;28725, 28825, 28925, 39025, 39125, 368125, 368225, 378025, 451225, 456425;-0;24725, 32125, 33025, 34225, 34725, 81725, 81825, 81925, 84325, 151625, 151725, 151825, 153325, 153425, 156125, 246825, 246925, 247025, 249125, 249225, 344725, 346625, 346725, 352925, 353025, 440925, 441025, 441125, 443325, 443425, 533225, 533325, 533425, 535825, 535925;48612025, 48658725, 48659625, 48661425, 48662025, 88458625, 88458725, 88458825, 88462025, 128506925, 128507025, 128507125, 128509025, 128509125, 128512225, 171344825, 171344925, 171345025, 171347225, 171347325, 216729225, 216731325, 216731425, 216738625, 216738725, 268880625, 268880725, 268880925, 268883425, 268883525, 314396725, 314396825, 314396925, 314399925, 314400025;-0
3025;2025-01-08 17:26:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 100.000.000,00 ; $ -   ; $ 100.000.000,00 ; $ 20.174.924,00 ;MANTENIMIENTO INMUEBLES: MANTENIMIENTO DE VÍAS INTERNAS, PUNTOS CRÍTICOS EN LA GRANJA DEL CENTRO AGROPECUARIO SENA REGIONAL CAUCA.;3025;107325;-0;-0;-0;-0
3125;2025-01-08 17:29:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 80.000.000,00 ; $ -   ; $ 80.000.000,00 ; $ 12.940.871,00 ;MANTENIMIENTO INMUEBLES: MANTENIMIENTO DE SISTEMAS SOLARES FOTOVOLTAICO CONCLUYE REPOSICIÓN DE LUMINARIAS EN EL CENTRO AGROPECUARIO REGIONAL CAUCA;3125;446025;-0;-0;-0;-0
3225;2025-01-08 17:33:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 15.000.000,00 ;-$ 420.000,00 ; $ 14.580.000,00 ; $ -   ;MANTENIMIENTO INMUEBLES: MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LA PLANTA DE TRATAMIENTO DE LA PLANTA DE AGUA POTABLE;3225;176225;164425;619425, 619525;341653225, 341653325;-0
3325;2025-01-08 17:36:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 95.000.000,00 ; $ -   ; $ 95.000.000,00 ; $ -   ;MANTENIMIENTO INMUEBLES: MANTENIMIENTO EN LOS SISTEMAS DE TRATAMIENTO DE AGUA RESIDUAL Y BIODIGESTOR CENTRO AGROPECUARIO;3325;140225;-0;-0;-0;-0
3425;2025-01-08 17:39:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 40.000.000,00 ; $ -   ; $ 40.000.000,00 ; $ 3.458.351,00 ;MANTENIMIENTO INMUEBLES: REALIZAR MANTENIMIENTO PREVENTIVO Y CORRECTIVO A LAS TRAMPAS DE GRASAS Y POZOS SÉPTICOS DE LOS DIFERENTES SISTEMAS DE TRATAMIENTO DE AGUA RESIDUAL UBICADOS EN EL SENA COMPLEJO ALTO CAUCA;3425;133025, 140125;77225;400025, 400125, 559325, 559425;243855825, 243856025, 318815025, 318815125;-0
3525;2025-01-08 17:42:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 150.000.000,00 ;-$ 63.923.000,00 ; $ 86.077.000,00 ; $ 53.500,00 ;MANTENIMIENTO INMUEBLES: CONTRATAR EL SERVICIO DE FUMIGACION, CONTROL DE ROEDORES PLAGAS Y VECTORES;3525;98125;77025;450225, 450325;268893325, 268893425;-0
3625;2025-01-08 18:07:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 90.000.000,00 ; $ -   ; $ 90.000.000,00 ; $ 9.032.888,00 ;MANTENIMIENTO INMUEBLES:COMPRA E INSTALACION DE ELEMENTOS DE EMERGENCIA CINTAS ANTIDESLIZANTES BOTIQUIN DE PRIMEROS AUXILIOS+INSUMOS SEÑALETICA Y DEMARCACION, COMPRA INSTALACION Y MTO DE ALARMAS DE EMERGENCIA LUCES DE EMERGENCIA,DETECTORES HUMO Y DEA;3625;236725, 311925;148025;559825;323526025;-0
3725;2025-01-08 19:42:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 30.000.000,00 ;-$ 24.758.000,00 ; $ 5.242.000,00 ; $ -   ;MANTENIMIENTO INMUEBLES: CONTRATAR LA RECARGA, MANTENIMIENTO A TODOS COSTO DE LOS EQUIPOS EXTINTORES;3725;107225;-0;-0;-0;-0
3825;2025-01-08 19:53:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 30.000.000,00 ; $ -   ; $ 30.000.000,00 ; $ 2.983.881,00 ;MANTENIMIENTO INMUEBLES:COMPRA E INSTALACION DE ELEMENTOS DE EMERGENCIA CINTAS ANTIDESLIZANTES BOTIQUIN DE PRIMEROS AUXILIOS+INSUMOS SEÑALETICA Y DEMARCACION, COMPRA INSTALACION Y MTO DE ALARMAS DE EMERGENCIA LUCES DE EMERGENCIA,DETECTORES HUMO Y DEA;3825;236625;148125;559125, 559225;318814825, 318814925;-0
3925;2025-01-08 20:00:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 15.000.000,00 ; $ -   ; $ 15.000.000,00 ; $ 2.771.575,00 ;MANTENIMIENTO INMUEBLES: CONTRATAR EL SERVICIO A TODO COSTO EL MANTENIMIENTO DE AIRES ACONDICIONADOS DEL CENTRO AGROPECUARIO DE LA REGIONAL CAUCA;3925;446125;-0;-0;-0;-0
4025;2025-01-08 20:08:00;Gasto;Generado;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 30.000.000,00 ;-$ 30.000.000,00 ; $ -   ; $ -   ;MANTENIMIENTO INMUEBLES: CONTRATAR LA RECARGA, MANTENIMIENTO A TODOS COSTO DE LOS EQUIPOS EXTINTORES;4025;-0;-0;-0;-0;-0
4125;2025-01-08 20:13:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 10.000.000,00 ; $ -   ; $ 10.000.000,00 ; $ 1.735.850,00 ;MANTENIMIENTO INMUEBLES: CONTRATAR EL SERVICIO MANTENIMIENTO DE PLANTAS ELECTRICAS DEL CENTRO AGROPECUARIO DE LA REGIONAL CAUCA;4125;446225;-0;-0;-0;-0
4225;2025-01-08 20:17:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 8.000.000,00 ; $ -   ; $ 8.000.000,00 ; $ 1.371.900,00 ;MANTENIMIENTO INMUEBLES: CONTRATAR EL SERVICIO DE MANTENIMIENTO A TODO COSTO DE BOMBAS EYECTORAS DEL CENTRO AGROPECUARIO DE LA REGIONAL CAUCA;4225;446325;-0;-0;-0;-0
4325;2025-01-08 20:21:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 50.000.000,00 ; $ -   ; $ 50.000.000,00 ; $ -   ;MANTENIMIENTO INMUEBLES: REALIZAR COMPRA POR TIENDA VIRTUAL DE INSUMOS Y ELEMENTOS DE FERRETERÍA PARA EL MEJORAMIENTO Y ENLUCIMIENTO DE LAS INSTALACIONES DEL CENTRO DE FORMACIÓN;4325;228825;164825;619625, 619725;341653425, 341653525;-0
4425;2025-01-08 20:25:00;Gasto;Generado;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699016-02;ADQUIS. DE BYS - SEDES MANTENIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 35.000.000,00 ;-$ 35.000.000,00 ; $ -   ; $ -   ;MANTENIMIENTO INMUEBLES: REALIZAR MANTENIMIENTO DE LA TORRE DE ALTURAS DEL CENTRO AGROPECUARIO DE LA REGIONAL CAUCA;4425;-0;-0;-0;-0;-0
4525;2025-01-08 20:36:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 241.260.000,00 ; $ -   ; $ 241.260.000,00 ; $ 5.835.685,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIONES DE ACCESIBILIDAD MEDIO FÍSICO, DE LA SEDE DE POPAYÁN UBICADA EN LA CARRERA 9 # 71 N 60 DEL CENTRO AGROPECUARIO SENA REGIONAL CAUCA. (INCLUYE ESTUDIOS Y DISEÑOS);4525;236025;-0;-0;-0;-0
4625;2025-01-09 08:40:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 121.800.000,00 ; $ -   ; $ 121.800.000,00 ; $ 1.461.980,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES ADECUACIÓN DEL AUDITORIO DE LA GRANJA DEL CENTRO AGROPECUARIO SENA REGIONAL CAUCA;4625;307425;-0;-0;-0;-0
4725;2025-01-09 08:46:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 250.000.000,00 ; $ -   ; $ 250.000.000,00 ; $ 6.942.588,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIÓN DE ÁREA DE ALMACENAMIENTO TRANSITORIA DE MATERIALES DE FORMACIÓN, MAQUINARIA Y EQUIPO DEL C. AGROPECUARIO SENA REG. CAUCA. (INCLUYE ESTUDIOS, DISEÑOS, TRAMITES Y PERMISOS.);4725;236125;-0;-0;-0;-0
4825;2025-01-09 08:50:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 280.000.000,00 ; $ -   ; $ 280.000.000,00 ; $ 2.874.630,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIÓN DE LOS CERRAMIENTOS PERIMETRALES DE LA GRANJA DEL CENTRO AGROPECUARIO SENA REGIONAL CAUCA. (INCLUYE ESTUDIOS Y DISEÑOS);4825;307125;-0;-0;-0;-0
4925;2025-01-09 08:53:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 128.850.000,00 ; $ -   ; $ 128.850.000,00 ; $ 1.501.592,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIONES DE FACHADAS DE LA INFRAESTRUCTURA FÍSICA DEL CENTRO DE DESARROLLO EMPRESARIAL EN CARRERA 9 # 71 N 60 DEL CAUCA.;4925;307225;-0;-0;-0;-0
5025;2025-01-09 08:56:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 377.000.000,00 ; $ -   ; $ 377.000.000,00 ; $ 3.772.349,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIONES DE BATERÍAS SANITARIAS Y/O BAÑOS, DE LA SEDE DE POPAYÁN UBICADA EN LA CARRERA 9 # 71 N 60 DEL CENTRO AGROPECUARIO SENA REGIONAL CAUCA. ( INCLUYE ESTUDIOS Y DISEÑOS);5025;307325;-0;-0;-0;-0
5125;2025-01-09 09:00:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 62.000.000,00 ; $ -   ; $ 62.000.000,00 ; $ 86.975,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIONES DE PUNTOS DE ANCLAJE SOBRE CUBIERTAS Y/O LUGARES NECESARIOS EN EL CENTRO AGROPECUARIO SENA REGIONAL CAUCA. (INCLUYE ESTUDIOS, DISEÑOS, Y CERTIFICACIONES).;5125;235925;-0;-0;-0;-0
5225;2025-01-09 09:05:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699009-02;ADQUIS. DE BYS - SEDES CONSTRUIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 10.575.429,00 ; $ -   ; $ 10.575.429,00 ; $ 175.429,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, CONTRATAR EL SERVICIO PARA REALIZAR TOMA DE MUESTRA Y ANALISIS DE PCB EN UN TRANSFORMADOR UBICADO EN EL SENA- GUAPI;5225;328125;-0;-0;-0;-0
5325;2025-01-09 09:10:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699011-02;ADQUIS. DE BYS - SEDES ADECUADAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 450.000.000,00 ; $ -   ; $ 450.000.000,00 ; $ 4.611.678,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, ADECUACIONES GENERALES Y CUBIERTAS DE LA INFRAESTRUCTURA FÍSICA, AMBIENTES DE FORMACIÓN Y ÁREAS COMPLEMENTARIAS DE LA SEDE DE POPAYÁN UBICADA EN LA CARRERA 9 # 71 N 60 DEL C. AGROPECUARIO SENA REG. CAUCA;5325;307525;-0;-0;-0;-0
5425;2025-01-09 09:13:00;Gasto;Generado;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699009-02;ADQUIS. DE BYS - SEDES CONSTRUIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 3.000.000,00 ; $ -   ; $ 3.000.000,00 ; $ 3.000.000,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES CONTRATAR VISITA TÉCNICA DE INSPECCIÓN, INFORME DE RECOMENDACIONES DE MEJORA Y POSTERIOR VERIFICACIÓN DE LAS MEJORAS REALIZADAS PARA TRAMITE DE CERTIFICADO DE SEGURIDAD HUMANA DEL C AGROPECUARIO SENA CAUCA.;5425;-0;-0;-0;-0;-0
5525;2025-01-09 09:17:00;Gasto;Generado;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699009-02;ADQUIS. DE BYS - SEDES CONSTRUIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 3.000.000,00 ; $ -   ; $ 3.000.000,00 ; $ 3.000.000,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, CONTRATAR VISITA TÉCNICA DE INSPECCIÓN, INFORME DE RECOMENDACIONES DE MEJORA Y POSTERIOR VERIFICACIÓN DE LAS MEJORAS REALIZADAS PARA TRAMITE DE CERTIFICADO DE SEGURIDAD HUMANA C AGROPECUARIO SENA CAUCA.;5525;-0;-0;-0;-0;-0
5625;2025-01-09 09:21:00;Gasto;Generado;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699009-02;ADQUIS. DE BYS - SEDES CONSTRUIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 1.000.000,00 ; $ -   ; $ 1.000.000,00 ; $ 1.000.000,00 ;ADECUACIONES: ADECUACIONES Y CONSTRUCCIONES, CONTRATAR EL PAGO POR TRAMITES AMBIENTALES, DE TASA RETRIBUTIVA Y/O VISITAS DE SEGUIMIENTO RELACIONADAS A PERMISOS DE VERTIMIENTOS, APROVECHAMIENTO FORESTAL, ENTRE OTROS.;5625;-0;-0;-0;-0;-0
5725;2025-01-09 09:26:00;Gasto;Con Compromiso;911324;CENTRO AGROPECUARIO-CAUCA - CONSTRUCCIONES Y ADECUACIONES;C-3699-1300-15-53105B-3699009-02;ADQUIS. DE BYS - SEDES CONSTRUIDAS - FORTALECIMIENTO DE LA INFRAESTRUCTURA FISICA DEL SENA A NIVEL NACIONAL;Propios;RENTAS PARAFISCALES;CSF; $ 188.937.514,00 ;-$ 1.512.062,00 ; $ 187.425.452,00 ; $ -   ;SERVICIOS PERSONALES: CONTRATAR SERVICIOS PERSONALES INDIRECTOS DE 1 DINAMIZADOR AMBIENTAL Y ENERGÉTICO MC, 1 OPERARIO PARA LA PLANTA DE TRATAMIENTO DE AGUA RESIDUAL, 1 ARQUITECTO Y-O INGENIERO Y 1 PROFESIONAL – FORMULADOR - SPI 11,5 MESES;5725;425, 1225, 2625, 43325;725, 825, 5125;8625, 8725, 25825, 25925, 67525, 67825, 93025, 93125, 129425, 154225, 154325, 154425, 154525, 154625, 154725, 154825, 154925, 156225, 156325, 156525, 226025, 226725, 249725, 347325, 349225, 354625, 354725, 354825, 354925, 355025, 420825, 421525, 444025, 511325, 512025, 536525, 539425, 539525, 619225, 619325;48583925, 48584025, 48650225, 48650325, 88440125, 88440625, 88520925, 128470725, 128510125, 128510225, 128510325, 128510425, 128510525, 128510625, 128510725, 128510825, 128512325, 128512425, 128512625, 171306025, 171306725, 171347825, 216732125, 216734425, 216740525, 216740725, 216741025, 216741125, 216741225, 268826025, 268828425, 268884325, 314355725, 314356725, 314400725, 314404825, 314404925, 338151125, 338151225;-0
